pk,record,datetime,user,project_id,VarLabel,VarName,VarDescription,FieldType,VarBlank,VarNull,Identifier,VarMaxDigits,VarMaxDecimalPlaces,VarMaxLength
189,1,2012-08-17 19:00,lisa,7,Next Day/24 Hours:  Total Cholesterol,nextDay_24Hours,Next Day/24 Hours:  Total Cholestero,DecimalField,1,1,0,15,15,NULL
190,1,2012-08-17 19:00,natalie,3,Referral From ER MD,ReferralFromERMD,Referral From ER MD,RadioButton,1,1,0,NULL,NULL,NULL
191,1,2012-08-17 19:01,natalie,3,Referral-Other,ReferralOther,Referral from other,RadioButton,1,1,0,NULL,NULL,NULL
192,1,2012-08-17 19:01,natalie,3,ReferralOtherText,ReferralOtherText,Referral from other (specify),CharField,1,1,0,NULL,NULL,25
193,1,2012-08-17 19:07,natalie,3,StrokeAssessment Date Time,StrokeAssessDateTime,Date and Time for Stroke Team Assessment,DateTimeField,0,0,0,NULL,NULL,NULL
194,1,2012-08-17 19:28,lisa,7,Next Day/24 Hours:  LDL,nextDay_24Hours_Ldl,Next Day/24 Hours:  LDL,DecimalField,1,1,0,15,15,NULL
195,1,2012-08-17 19:29,lisa,7,Next Day/24 Hours:  HDL,nextDay_24Hours_Hdl,Next Day/24 Hours:  HDL,DecimalField,1,1,0,15,15,NULL
196,1,2012-08-17 19:30,lisa,7,Next Day/24 Hours:  Triglycerides,nextDay_24Hours_Triglycerides,Next Day/24 Hours:  Triglycerides,DecimalField,1,1,0,15,15,NULL
197,1,2012-08-17 19:32,lisa,7,Next Day/24 Hours:  Serum Uric acid/Urate,nextDay_24Hours_SerumUricAcid_Urate,Next Day/24 Hours:  Serum Uric acid/Urate,DecimalField,1,1,0,15,15,NULL
198,1,2012-08-17 19:35,natalie,3,StrokeAssessment ER,StrokeAssessER,Stroke Assessment- ER,RadioButton,1,1,0,NULL,NULL,NULL
199,1,2012-08-17 19:37,paulina,1,Age at Onset in Years,Age_Onset_Years,Age in years at time of first seizure; best approximation.,BigIntegerField,0,0,0,NULL,NULL,NULL
200,1,2012-08-17 19:37,lisa,7,Next Day/24 Hours: Serum Homocysteine,nextDay_24Hours_Serum_Homocysteine,Next Day/24 Hours: Serum Homocysteine,DecimalField,1,1,0,15,15,NULL
201,1,2012-08-17 19:39,lisa,7,Next Day/24 Hours:  D-Dimer,nextDay_24Hours_DDimer,Next Day/24 Hours:  D-Dimer,DecimalField,0,1,0,15,15,NULL
202,1,2012-08-17 19:40,lisa,7,Next Day/24 Hours:  Serum Fibrinogen,nextDay_24Hours_SerumFibrinogen,Next Day/24 Hours:  Serum Fibrinogen,DecimalField,1,1,0,15,15,NULL
203,1,2012-08-17 19:41,lisa,7,Height in CM,heightCM,Height in CM,CharField,1,1,0,NULL,NULL,25
204,1,2012-08-17 19:42,lisa,7,Weight in KG,weightInKg,Weight in KG,CharField,1,1,0,NULL,NULL,25
205,1,2012-08-17 19:43,lisa,7,Waist Circumference in cm,waistCircumferenceInCM,Waist Circumference in cm,CharField,1,1,0,NULL,NULL,25
206,1,2012-08-17 19:44,lisa,7,Signature Page 6,signaturePg6,Signature Page 6,CharField,1,1,0,NULL,NULL,50
207,1,2012-08-17 19:45,lisa,7,Date,datePg6,Date,DateField,1,1,0,NULL,NULL,NULL
208,1,2012-08-17 19:47,lisa,7,Subject Initials Page 7,subjectInitialspg7,Subject Initials Page 7,CharField,1,1,0,NULL,NULL,15
209,1,2012-08-17 19:48,lisa,7,Subject #:,subjectNumberPg7,Subject #:,CharField,1,1,0,NULL,NULL,15
210,1,2012-08-17 19:49,lisa,7,NIHSS (Baseline),nihss_baseline,NIHSS (Baseline),CharField,1,1,0,NULL,NULL,1
211,1,2012-08-17 19:50,natalie,3,StrokeAssessment Urgent Neuro,StrokeAssessUrgentNeuro,Stroke Assessment- Urgent Neuro,RadioButton,1,1,0,NULL,NULL,NULL
212,1,2012-08-17 19:51,natalie,3,StrokeAssessment Stroke Prevention Clinic,StrokeAssessStrokePrevClinic,Stroke Assessment- Stroke Prevention Clinic,RadioButton,1,1,0,NULL,NULL,NULL
213,1,2012-08-17 19:51,lisa,7,1a. Level of Consciousness:,1ALevelOfConsciousness,1a. Level of Consciousness:,RadioButton,1,0,0,NULL,NULL,NULL
214,1,2012-08-17 19:52,natalie,3,StrokeAssessment Other Clinic,StrokeAssessOther,Stroke Assessment- Other Clinic,RadioButton,1,1,0,NULL,NULL,NULL
215,1,2012-08-17 19:56,lisa,7,1b - LOC Questions,1b_LocQuestions,1b - LOC Questions,RadioButton,1,0,0,NULL,NULL,NULL
216,1,2012-08-17 19:57,paulina,1,Year of First Event,Year_First_Event,Year the first seizure event occurred,DateField,0,0,0,NULL,NULL,NULL
217,1,2012-08-17 19:58,paulina,1,Year of Last Event,Year_Last_Event,Year the last seizure event occurred,DateField,0,0,0,NULL,NULL,NULL
218,1,2012-08-17 19:59,lisa,7,1C-LOC Commands,1c_LocCommands,1C-LOC Commands,RadioButton,1,0,0,NULL,NULL,NULL
219,1,2012-08-17 20:12,paulina,1,Aura,Aura,Was there an Aura involved in the seizure event,RadioButton,0,0,0,NULL,NULL,NULL
220,1,2012-08-17 20:13,lisa,7,2 - Best Gaze,2_BestGaze,2 - Best Gaze,RadioButton,1,0,0,NULL,NULL,NULL
221,1,2012-08-17 20:25,lisa,7,Visual,visual,Visual,RadioButton,1,0,0,NULL,NULL,NULL
222,1,2012-08-17 20:33,paulina,1,Postictal Difficulties,Postictal_Difficulties,Were Postictal Difficulties present in seizure event,RadioButton,0,0,0,NULL,NULL,NULL
223,1,2012-08-17 20:52,lisa,7,Facial Palsy,facialPalsy,Facial Palsy,RadioButton,1,0,0,NULL,NULL,NULL
224,1,2012-08-17 21:01,paulina,1,Single Event,Single_Event,Was the seizure event a single event (one event in a lifetime),RadioButton,0,0,0,NULL,NULL,NULL
225,1,2012-08-17 21:22,paulina,1,Risk Factors-Birth Trauma,Risk_Factors_Birth_Trauma,Is Birth Trauma a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
226,1,2012-08-17 21:25,paulina,1,Risk Factors-Febrile Convulsions,Risk_Factors_Febrile_Convulsions,Are Febrile Convulsions a potential risk factor,RadioButton,0,0,0,NULL,NULL,NULL
227,1,2012-08-20 22:42,paulina,1,Risk Factors-CNS Infection,Risk_Factors_CNS_Infection,Was CNS Infection a Risk Factor involved with the seizure event,RadioButton,0,0,0,NULL,NULL,NULL
228,1,2012-08-20 22:47,paulina,1,Risk Factors-Head Injury,Risk_Factors_Head_Injury,Was head injury a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
229,1,2012-08-20 22:50,paulina,1,Risk Factors-Family History of Seizures,Risk_Factors_Family_History_Seizures,Is a family history of seizures a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
230,1,2012-08-20 22:51,paulina,1,Risk Factors-Developmental Disorder,Risk_Factor_Developmental_Disorder,Is a developmental disorder a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
231,1,2012-08-20 22:52,paulina,1,Risk Factors-Brain Tumor,Risk_Factor_Brain_Tumor,Is a brain tumor a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
232,1,2012-08-20 22:53,paulina,1,Risk Factor-Stroke,Risk_Factor_Stroke,Is stroke a potential risk factor for patient,RadioButton,0,0,0,NULL,NULL,NULL
233,1,2012-08-20 22:59,paulina,1,"Risk Factor-Other, Specify",Risk_Factor_Other_Specify,"If there is another potential risk factor for patient, please specify.",TextField,1,0,0,NULL,NULL,NULL
234,1,2012-08-21 15:56,paulina,1,Precipitants-Sleep Deprivation,Precipitants_Sleep_Deprivation,Was sleep deprivation a precipitant for the seizure event,RadioButton,0,0,0,NULL,NULL,NULL
235,1,2012-08-21 16:07,paulina,1,Precipitant-Alcohol,Precipitant_Alcohol,Was alcohol a precipitant of stroke event,RadioButton,0,0,0,NULL,NULL,NULL
236,1,2012-08-21 16:14,paulina,1,Precipitant-Menses,Precipitant_Menses,Was menses a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
237,1,2012-08-21 16:14,paulina,1,Precipitant-Concurrent lllness,Precipitant_Concurrent_Illness,Was concurrent illness a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
238,1,2012-08-21 16:18,paulina,1,Precipitant-Pregnancy,Precipitant_Pregnancy,Was pregnancy a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
239,1,2012-08-21 16:23,paulina,1,Precipitant-Flashing Lights,Precipitant_Flashing_Lights,Were flashing lights a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
240,1,2012-08-21 16:24,paulina,1,Precipitant-Stress,Precipitant_Stress,Was stress a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
241,1,2012-08-21 16:27,paulina,1,Precipitant-Drugs,Precipitant_Drugs,Were drugs a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
242,1,2012-08-21 16:28,paulina,1,Precipitant-Non-Adherence,Precipitant_Non_Adherence,Was non-adherence a precipitant for stroke event,RadioButton,0,0,0,NULL,NULL,NULL
243,1,2012-08-21 16:30,paulina,1,"Precipitant-Other, Specify",Precipitant_Other_Specify,"If another precipitant was present in stroke event, please specify",TextField,0,0,0,NULL,NULL,NULL
244,1,2012-08-21 16:49,paulina,1,Has the Patient ever taken an AED?,Patient_Taken_AED,Has the patient ever taken any anti-epileptic drugs,RadioButton,0,0,0,NULL,NULL,NULL
245,1,2012-08-21 18:09,paulina,1,AEDs-Carbamezapine (Tegretol),AEDs_Carbamezapine_Tegretol,Was Carbamezepine (Tegretol) an AED used by patient,RadioButton,0,0,0,NULL,NULL,NULL
246,1,2012-08-22 16:55,natalie,3,Patient location- discharged,patientLocationDischarged,Location of patient-discharged,RadioButton,1,1,0,NULL,NULL,NULL
247,1,2012-08-22 16:56,natalie,3,Patient location- admitted,patientLocationAdmit,Location of patient-admitted to hospital,RadioButton,1,1,0,NULL,NULL,NULL
248,1,2012-08-22 16:57,natalie,3,MRI-1.5T,MRI1_5T,Type of MRI: 1.5 T,RadioButton,1,1,0,NULL,NULL,NULL
249,1,2012-08-22 16:57,natalie,3,MRI-3T,MRI3T,Type of MRI: 3T,RadioButton,1,1,0,NULL,NULL,NULL
250,1,2012-08-22 16:58,natalie,3,Fellow name,FellowName,Fellow Name,CharField,1,1,0,NULL,NULL,25
251,1,2012-08-22 16:58,natalie,3,Staff name,staffName,Staff name,CharField,1,1,0,NULL,NULL,25
252,1,2012-08-22 16:59,natalie,3,BaselineChar_Hypertension,BaselineChar_Hyperten,Baseline Characteristics- Hypertension,RadioButton,1,1,0,NULL,NULL,NULL
253,1,2012-08-22 17:00,natalie,3,BaselineChar-CHD,BaselineChar_CHD,Baseline Characteristics- CHD,RadioButton,1,1,0,NULL,NULL,NULL
254,1,2012-08-22 17:01,natalie,3,BaselineChar-Diabetes,BaselineChar_Diabetes,Baseline Characteristics- Diabetes,RadioButton,1,1,0,NULL,NULL,NULL
255,1,2012-08-22 17:01,natalie,3,BaselineChar-HVDis,BaselineChar_HVDis,Baseline Characteristics- Heart valve disease,RadioButton,1,1,0,NULL,NULL,NULL
256,1,2012-08-22 17:02,natalie,3,baselineChar-Dyslipidemia,BaselineChar_Dyslipid,Baseline Characteristics- Dyslipidemia,RadioButton,1,1,0,NULL,NULL,NULL
257,1,2012-08-22 17:03,natalie,3,BaselineChar-PVD,BaselineChar_PVD,Baseline Characteristics- PVD,RadioButton,1,1,0,NULL,NULL,NULL
258,1,2012-08-22 17:04,natalie,3,BaselineChar-A.Fib/Flutter,BaselineChar_AFibFlutter,Baseline Characteristics- A.Fib or Flutter,RadioButton,1,1,0,NULL,NULL,NULL
259,1,2012-08-22 17:05,natalie,3,BaselineChar-Smoking,BaselineChar_Smoking,Baseline Characteristics- Smoking (current),RadioButton,1,1,0,NULL,NULL,NULL
260,1,2012-08-22 17:05,natalie,3,BaselineChar-None,BaselineChar_None,Baseline Characteristics- None of the above,RadioButton,1,1,0,NULL,NULL,NULL
261,1,2012-08-22 17:06,natalie,3,Meds_ASA,Meds_ASA,Medications- day before referral event_ASA,RadioButton,1,1,0,NULL,NULL,NULL
262,1,2012-08-22 17:06,natalie,3,Meds_Clopidogrel,Meds_Clopidogrel,Medications- day before referral event_Clopidogrel,RadioButton,1,1,0,NULL,NULL,NULL
263,1,2012-08-22 17:07,natalie,3,Meds_Aggrenox,Meds_Aggrenox,Medications- day before referral event_Aggrenox,RadioButton,1,1,0,NULL,NULL,NULL
264,1,2012-08-22 17:07,natalie,3,Meds_Warfarin,Meds_Warfarin,Medications- day before referral event_Warfarin,RadioButton,1,1,0,NULL,NULL,NULL
265,1,2012-08-22 17:08,natalie,3,Meds_Heparin,Meds_Heparin,Medications- day before referral event_Full dose Heparin (SC),RadioButton,1,1,0,NULL,NULL,NULL
266,1,2012-08-22 17:09,natalie,3,Meds_Antihypertens,Meds_Antihypertens,Medications- day before referral event_Antihypertensive,RadioButton,1,1,0,NULL,NULL,NULL
267,1,2012-08-22 17:09,natalie,3,Meds_Oral Hypoglycemic,Meds_OralHypoglyc,Medications- day before referral event_Oral Hpoglycemic,RadioButton,1,1,0,NULL,NULL,NULL
268,1,2012-08-22 17:10,natalie,3,Meds_Insulin,Meds_Insulin,Medications- day before referral event_Insulin,RadioButton,1,1,0,NULL,NULL,NULL
269,1,2012-08-22 17:11,natalie,3,Meds_Statin,Meds_Statin,Medications- day before referral event_Statin,RadioButton,1,1,0,NULL,NULL,NULL
270,1,2012-08-22 17:12,natalie,3,Meds_Other Lipid Lowering Agent,Meds_OtherFatLowering,Medications- day before referral event_Other lipid lowering agent,RadioButton,1,1,0,NULL,NULL,NULL
271,1,2012-08-22 17:12,natalie,3,Meds_None,Meds_None,Medications- none of the above,RadioButton,1,1,0,NULL,NULL,NULL
272,1,2012-08-22 17:29,natalie,3,BaselinePI,BaslinePI,Baseline Patient Initials,CharField,1,1,0,NULL,NULL,10
273,1,2012-08-22 17:57,natalie,3,Baseline Doubt numb,BaselineDoubtNumb,Baseline Doubt Number,BigIntegerField,1,1,1,NULL,NULL,NULL
274,1,2012-08-22 17:57,natalie,3,RHR number,RHRnumber,RHR number,BigIntegerField,1,1,1,NULL,NULL,NULL
275,1,2012-08-22 17:58,natalie,3,Exam Date,ExamDate,Exam Date,DateField,1,1,0,NULL,NULL,NULL
276,1,2012-08-22 17:59,natalie,3,Exam Time,ExamTime,Exam Time (hours),TimeField,1,1,0,NULL,NULL,NULL
277,1,2012-08-22 17:59,natalie,3,Exam number,ExamNumb,Exam number,BigIntegerField,1,1,0,NULL,NULL,NULL
278,1,2012-08-22 17:59,natalie,3,SymptomSideRight,SymptomSideRight,Symptom Side- right,RadioButton,1,1,0,NULL,NULL,NULL
279,1,2012-08-22 18:00,natalie,3,SymptomSideLeft,SymptomSideLeft,Symptom Side-left,RadioButton,1,1,0,NULL,NULL,NULL
280,1,2012-08-22 18:00,natalie,3,SymptomSide- Aphasia,SymptomSideAphasia,Symptom Side- aphasia,RadioButton,1,1,0,NULL,NULL,NULL
281,1,2012-08-22 18:01,natalie,3,Magnet3T,Magnet3T,Magnet- 3T,RadioButton,1,1,0,NULL,NULL,NULL
282,1,2012-08-22 18:02,natalie,3,Magnet1.5T,Magnet1_5T,Magnet- 1.5T,RadioButton,1,1,0,NULL,NULL,NULL
283,1,2012-08-22 18:02,natalie,3,Interpreted by:,InterpretationBy,Interpretation By:,CharField,1,1,0,NULL,NULL,30
284,1,2012-08-22 18:03,natalie,3,1.DWI_unable to fill,DWI_unable,1. DWI: unable to fill (poor quality),RadioButton,1,1,0,NULL,NULL,NULL
285,1,2012-08-22 18:05,natalie,3,DWI_Lesion- None,DWI_Lesion_none,DWI: Lesion- none,RadioButton,1,1,0,NULL,NULL,NULL
286,1,2012-08-22 18:06,natalie,3,DWI_Lesion-Solitary,DWI_Lesion_Solitary,DWI: Lesion- solitary,RadioButton,1,1,0,NULL,NULL,NULL
287,1,2012-08-22 18:21,natalie,3,DWI_Lesion- Multiple,DWI_Lesion_multiple,DWI: Lesion- multiple,RadioButton,1,1,0,NULL,NULL,NULL
288,1,2012-08-22 19:41,natalie,3,DWI_Side-Left,DWI_Side_Left,DWI: Side- Left,RadioButton,1,1,0,NULL,NULL,NULL
289,1,2012-08-22 19:41,natalie,3,DWI_Side-Rght,DWI_Side_Right,DWI: Side- Right,RadioButton,1,1,0,NULL,NULL,NULL
290,1,2012-08-22 19:41,natalie,3,DWI_Side-Both,DWI_Side_Both,DWI: Side- Both,RadioButton,1,1,0,NULL,NULL,NULL
291,1,2012-08-22 19:43,natalie,3,DWI_Left Vascular Terr_ACA,DWI_LeftVascTerr_ACA,DWI_Left Vascular Territory- ACA,RadioButton,1,1,0,NULL,NULL,NULL
292,1,2012-08-22 20:09,natalie,3,DWI_Left Vascular Terr_MCA,DWI_LeftVascTerr_MCA,DWI_Left Vascular Territory- MCA,RadioButton,1,1,0,NULL,NULL,NULL
293,1,2012-08-22 20:09,natalie,3,DWI_Left Vascular Terr_PCA,DWI_LeftVascTerr_PCA,DWI_Left Vascular Territory- PCA,RadioButton,1,1,0,NULL,NULL,NULL
294,1,2012-08-22 20:11,natalie,3,DWI_Left Vascular Terr_Vertebrobas,DWI_LeftVascTerr_Vertebrobas,DWI_Left Vascular Territory- Vertebrobasilar,RadioButton,1,1,0,NULL,NULL,NULL
295,1,2012-08-22 20:12,natalie,3,DWI_Right Vascular Terr_ACA,DWI_RightVascTerr_ACA,DWI_Right Vascular Territory- ACA,RadioButton,1,1,0,NULL,NULL,NULL
296,1,2012-08-22 20:12,natalie,3,DWI_Right Vascular Terr_MCA,DWI_RightVascTerr_MCA,DWI_Right Vascular Territory- MCA,RadioButton,1,1,0,NULL,NULL,NULL
297,1,2012-08-22 20:13,natalie,3,DWI_Right Vascular Terr_PCA,DWI_RightVascTerr_PCA,DWI_Right Vascular Territory_PCA,RadioButton,1,1,0,NULL,NULL,NULL
298,1,2012-08-22 20:13,natalie,3,DWI_Right Vascular Terr_Vertebrobas,DWI_RightVascTerr_Vertebrobas,DWI_Right Vascular Territory_Vertebrobasilar,RadioButton,1,1,0,NULL,NULL,NULL
299,1,2012-08-22 20:14,natalie,3,DWI_TissueAffected_CorticGreyMat,DWI_TissueAffected_CorticGreyMat,DWI_Tissue Affected_ Cortical Grey Matter,RadioButton,1,1,0,NULL,NULL,NULL
300,1,2012-08-22 20:14,natalie,3,DWI_TissueAffected_WhiteMat,DWI_TissueAffected_WhiteMat,DWI_Tissue Affected_White Matter,RadioButton,1,1,0,NULL,NULL,NULL
301,1,2012-08-22 20:15,natalie,3,DWI_TissueAffected_BasalGanglia,DWI_TissueAffected_BasalGanglia,DWI_ Tissue Affected_ Basal Ganglia,RadioButton,1,1,0,NULL,NULL,NULL
302,1,2012-08-22 20:16,natalie,3,DWI_TissueAffected_BrainstemNucl,DWI_TissueAffected_BrainstemNucl,DWI_Tissue Affected_ Brainstem Nuclei or Tracts,RadioButton,1,1,0,NULL,NULL,NULL
303,1,2012-08-22 20:17,natalie,3,DWI_TissueAffected_Cerebellum,DWI_TissueAffected_Cereb,DWI_Tissue Affected_Cerebellum,RadioButton,1,1,0,NULL,NULL,NULL
304,1,2012-08-22 20:17,natalie,3,DWI_TissueAffected_Thal,DWI_TissueAffected_Thal,DWI_Tissue Affected_Thalamus,RadioButton,1,1,0,NULL,NULL,NULL
305,1,2012-08-22 20:18,natalie,3,DWI_AgeOfLes_Hyperacute,DWI_AgeOfLes_Hyperacute,DWI_Age of Lesion_ Hyperacute (no evidence on T2),RadioButton,1,1,0,NULL,NULL,NULL
306,1,2012-08-22 20:20,natalie,3,DWI_AgeOfLes_Acute,DWI_AgeOfLes_Acute,DWI_Age of Lesion_Acute (some T2 and hypointense on ADC),RadioButton,1,1,0,NULL,NULL,NULL
307,1,2012-08-22 20:21,natalie,3,DWI_AgeOfLes_Subacute,DWI_AgeOfLes_Subacute,DWI_Age of Lesion_Subacute (normalized ADC),RadioButton,1,1,0,NULL,NULL,NULL
308,1,2012-08-22 20:23,natalie,3,IntracranialMRA_Normal,IntracranMRA_Norm,Intracranial MRA_Normal,RadioButton,1,1,0,NULL,NULL,NULL
309,1,2012-08-22 20:23,natalie,3,IntracranialMRA_Abnormal,IntracranMRA_Abnorm,Intracranial MRA_Abnormal,RadioButton,1,1,0,NULL,NULL,NULL
310,1,2012-08-22 20:24,natalie,3,IntracranialMRA_Unable,IntracranMRA_Unable,Intracranial MRA_Unable,RadioButton,1,1,0,NULL,NULL,NULL
311,1,2012-08-22 20:25,natalie,3,MRA_Site of occlusion_Right ICA,MRA_OcclusSite_RightICA,MRA_Site of Occlusion_ Right ICA,RadioButton,1,1,0,NULL,NULL,NULL
312,1,2012-08-22 20:26,natalie,3,MRA_Site of occlusion_Right MCA m1,MRA_OcclusSite_RightMCAm1,MRA_Site of Occlusion_Right MCA m1,RadioButton,1,1,0,NULL,NULL,NULL
313,1,2012-08-22 20:26,natalie,3,MRA_Site of occlusion_Right MCA m2,MRA_OcclusSite_RightMCAm2,MRA_Site of Occlusion_Right MCA m2,RadioButton,1,1,0,NULL,NULL,NULL
314,1,2012-08-22 20:27,natalie,3,MRA_Site of occlusion_Right ACA,MRA_OcclusSite_RightACA,MRA_Site of Occlusion_Right ACA,RadioButton,1,1,0,NULL,NULL,NULL
315,1,2012-08-22 20:28,natalie,3,MRA_Site of occlusion_Right PCA,MRA_OcclusSite_RightPCA,MRA_Site of Occlusion_Right PCA,RadioButton,1,1,0,NULL,NULL,NULL
316,1,2012-08-22 20:28,natalie,3,MRA_Site of occlusion_Right Bas,MRA_OcclusSite_RightBas,MRA_Site of Occlusion_Right Basilar,RadioButton,1,1,0,NULL,NULL,NULL
317,1,2012-08-22 20:28,natalie,3,MRA_Site of occlusion_Right PICA,MRA_OcclusSite_RightPICA,MRA_SIte of Occlusion_Right PICA,RadioButton,1,1,0,NULL,NULL,NULL
318,1,2012-08-22 20:29,natalie,3,MRA_Site of occlusion_Right Vert,MRA_OcclusSite_RightVert,MRA_Site of Occlusion_Right Vert,RadioButton,1,1,0,NULL,NULL,NULL
319,1,2012-08-22 20:30,natalie,3,MRA_Site of occlusion_LeftICA,MRA_OcclusSite_LeftICA,MRA_Site of Occlusion_Left ICA,RadioButton,1,1,0,NULL,NULL,NULL
320,1,2012-08-22 20:30,natalie,3,MRA_Site of occlusion_LeftMCAm1,MRA_OcclusSite_LeftMCAm1,MRA_Site of Occlusion_LeftMCAm1,RadioButton,1,1,0,NULL,NULL,NULL
321,1,2012-08-22 20:31,natalie,3,MRA_Site of occlusion_LeftMCAm2,MRA_OcclusSite_LeftMCAm2,MRA_Site of Occlusion_Left MCAm2,RadioButton,1,1,0,NULL,NULL,NULL
322,1,2012-08-22 20:31,natalie,3,MRA_Site of occlusion_LeftACA,MRA_OcclusSite_LeftACA,MRA_Site of Occlusion_LeftACA,RadioButton,1,1,0,NULL,NULL,NULL
323,1,2012-08-22 20:32,natalie,3,MRA_Site of occlusion_LeftPCA,MRA_OcclusSite_LeftPCA,MRA_Site of Occlusion_Left PCA,RadioButton,1,1,0,NULL,NULL,NULL
324,1,2012-08-22 20:32,natalie,3,MRA_Site of occlusion_LeftBas,MRA_OcclusSite_LeftBas,MRA_Site of Occlusion_LeftBasilar,RadioButton,1,1,0,NULL,NULL,NULL
325,1,2012-08-22 20:33,natalie,3,MRA_Site of occlusion_LeftPICA,MRA_OcclusSite_LeftPICA,MRA_Site of Occlusion_Left PICA,RadioButton,1,1,0,NULL,NULL,NULL
326,1,2012-08-22 20:33,natalie,3,MRA_Site of occlusion_LeftVert,MRA_OcclusSite_LeftVert,MRA_Site of Occlusion_Left Vert,RadioButton,1,1,0,NULL,NULL,NULL
327,1,2012-08-23 19:31,natalie,3,MRA_>50Occl_RightICA,MRA_MoreThan50Occl_RightICA,MRA_>50 percent stenosis_Right ICA,RadioButton,1,1,0,NULL,NULL,NULL
328,1,2012-08-23 19:45,natalie,3,MRA_>50Occl_RightMCAm1,MRA_GT50Occl_RightMCAm1,MRA_>50% Stenosis_Right MCA m1,RadioButton,1,1,0,NULL,NULL,NULL
329,1,2012-08-23 19:45,natalie,3,MRA_>50Occl_RightMCAm2,MRA_GT50Occl_RightMCAm2,MRA_>50 % Stenosis_RightMCAm2,RadioButton,1,1,0,NULL,NULL,NULL
330,1,2012-08-23 19:46,natalie,3,MRA_>50Occl_RightACA,MRA_GT50Occl_RightACA,MRA_>50% Stenosis_Right ACA,RadioButton,1,1,0,NULL,NULL,NULL
331,1,2012-08-23 19:47,natalie,3,MRA_>50Occl_RightPCA,MRA_GT50Occl_RightPCA,MRA_>50% Stenosis_RightPCA,RadioButton,1,1,0,NULL,NULL,NULL
332,1,2012-08-23 19:47,natalie,3,MRA_>50Occl_RightBasilar,MRA_GT50Occl_RightBasilar,MRA_>50% Stenosis_Right Basilar,RadioButton,1,1,0,NULL,NULL,NULL
333,1,2012-08-23 19:48,natalie,3,MRA_>50Occl_RightPICA,MRA_GT50Occl_RightPICA,MRA_>50% Stenosis_Right PICA,RadioButton,1,1,0,NULL,NULL,NULL
334,1,2012-08-23 19:54,natalie,3,MRA_>50Occl_RightVert,MRA_GT50Occl_RightVert,MRA_>50% Stenosis_Right Vert,RadioButton,1,1,0,NULL,NULL,NULL
335,1,2012-08-23 19:56,natalie,3,MRA_>50Occl_LeftICA,MRA_GT50Occl_LeftICA,MRA_>50%Stenosis_Left ICA,RadioButton,1,1,0,NULL,NULL,NULL
336,1,2012-08-23 19:56,natalie,3,MRA_>50Occl_LeftMCAm1,MRA_GT50Occl_LeftMCAm1,MRA_>50% Stenosis_Left MCA m1,RadioButton,1,1,0,NULL,NULL,NULL
337,1,2012-08-23 19:57,natalie,3,MRA_>50Occl_LeftMCAm2,MRA_GT50Occl_LeftMCAm2,MRA_>50%Stenosis_leftMCAm2,RadioButton,1,1,0,NULL,NULL,NULL
338,1,2012-08-23 19:58,natalie,3,MRA_>50Occl_LeftACA,MRA_GT50Occl_LeftACA,MRA_>50% Stenosis_Left ACA,RadioButton,1,1,0,NULL,NULL,NULL
339,1,2012-08-23 19:58,natalie,3,MRA_>50Occl_LeftPCA,MRA_GT50Occl_LeftPCA,MRA_>50% Stenosis_Left PCA,RadioButton,1,1,0,NULL,NULL,NULL
340,1,2012-08-23 19:59,natalie,3,MRA_>50Occl_LeftBasilar,MRA_GT50Occl_LeftBasilar,MRA_>50% Stenosis_Left Basilar,RadioButton,1,1,0,NULL,NULL,NULL
341,1,2012-08-23 19:59,natalie,3,MRA_>50Occl_Left PICA,MRA_GT50Occl_LeftPICA,MRA_>50% Stenosis_Left PICA,RadioButton,1,1,0,NULL,NULL,NULL
342,1,2012-08-23 20:00,natalie,3,MRA_>50Occl_Left Vert,MRA_GT50Occl_LeftVert,MRA_>50% Stenosis_Left Vert,RadioButton,1,1,0,NULL,NULL,NULL
343,1,2012-08-23 20:01,natalie,3,MRA_<50Occl_RightICA,MRA_LT50Occl_RightICA,MRA_<50% Stenosis_RightICA,RadioButton,1,1,0,NULL,NULL,NULL
344,1,2012-08-23 20:02,natalie,3,MRA_<50Occl_RightMCAm1,MRA_LT50Occl_RightMCAm1,MRA_<50%Stenosis_Right MCAm1,RadioButton,1,1,0,NULL,NULL,NULL
345,1,2012-08-23 20:02,natalie,3,MRA_<50Occl_RightMCAm2,MRA_LT50Occl_RightMCAm2,MRA_<50%Stenosis_Right MCA m2,RadioButton,1,1,0,NULL,NULL,NULL
346,1,2012-08-23 20:03,natalie,3,MRA_<50Occl_RightACA,MRA_LT50Occl_RightACA,MRA_<50%Stenosis_Right ACA,RadioButton,1,1,0,NULL,NULL,NULL
